id,process_id,next_approve_line_id,current_approve_line_id,notif_approve_line_id,create_uid,write_uid,name,project_code,state,has_lyrics,date_start,date_end,note,date_sent,date_approved,create_date,write_date,user_request_id,hg_paymenttool_id,_source_id,_source_connection,_batch_id,_loaded_at
139,,,,,6,6,Chill 'n groove,CNG,progress,,2025-07-01,,,,,2025-08-17 10:51:09.832011,2026-07-09 02:23:19.348642,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
137,,,,,6,6,Whitenoise,W,progress,,,,White noise,,,2025-08-17 10:51:09.832011,2026-07-09 02:23:21.519649,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
136,,,,,6,6,Violin Cover - 0,VLC-0,draft,,,,Violin Cover,,,2025-08-17 10:51:09.832011,2026-07-09 02:23:23.494207,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
135,,,,,6,6,Tropical House Cover - 1,THC-1,draft,,2025-05-01,,Tropical House Cover - 1,,,2025-08-17 10:51:09.832011,2026-07-09 02:23:25.428371,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
134,,,,,6,6,Trance,TR,done,,2024-05-01,,Trance,,,2025-08-17 10:51:09.832011,2026-07-09 02:23:29.836179,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
133,,,,,6,6,Top Hits Cover - 0,THC-0,progress,,2023-09-01,,Cover top hits,,,2025-08-17 10:51:09.832011,2026-07-09 02:23:43.049113,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
113,,,,,6,6,Kids,K,progress,,2023-10-01,,Kids,,,2025-08-17 10:51:09.832011,2026-07-21 07:50:17.371712,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
124,,,,,6,6,Phúc Âm (có lời),PACL,progress,,2025-01-01,,Phúc Âm (có lời),,,2025-08-17 10:51:09.832011,2026-07-21 07:50:28.97168,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
123,,,,,6,6,Phúc Âm,PA,progress,,2023-08-01,,Phúc Âm,,,2025-08-17 10:51:09.832011,2026-07-21 07:50:32.166143,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
143,,,,,6,6,Om Healing,OMH,progress,instrumental,2025-10-17,,,,,2025-10-17 10:15:00.852699,2026-07-21 07:52:03.046351,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
116,,,,,6,2318,Lofi,LF,progress,,,,LOFI,,,2025-08-17 10:51:09.832011,2025-11-12 02:42:15.257666,,833b9a2f-0bc5-44b7-9b2f-118e5115be96,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
127,,,,,6,6,R&B,RB-2,progress,,,,R&B,,,2025-08-17 10:51:09.832011,2026-01-27 09:45:28.61475,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
91,,,,,6,6,Classical,CL,progress,,2023-04-01,,Classical,,,2025-08-17 10:51:09.832011,2026-02-26 02:01:12.636321,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
94,,,,,6,6,Dark Ambience,DA,progress,,,,Dark Ambience,,,2025-08-17 10:51:09.832011,2026-02-27 10:06:16.245671,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
130,,,,,6,6,Relax,RL,progress,,,,Relax,,,2025-08-17 10:51:09.832011,2026-05-07 06:58:36.359245,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
138,,,,,6,6,Downtempo,DTP,progress,,2025-07-01,,,,,2025-08-17 10:51:09.832011,2026-05-22 03:19:24.772774,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
154,,,,,447,6,Neo Classical,NC,,instrumental,,,,,,2026-03-12 02:50:37.738711,2026-05-26 09:52:37.375303,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
155,,,,,59,59,Dự án chung,,,,,,,,,2026-06-20 08:11:00.429264,2026-06-20 08:11:00.429264,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
164,,,,,6,6,Afro Cover - 1,AFC,,,2026-07-01,,,,,2026-07-07 08:08:44.376842,2026-07-15 02:07:22.522697,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
163,,,,,6,6,Reggae Cover - 1,RC-1,,,2025-05-01,,,,,2026-07-07 08:07:53.194285,2026-07-15 02:07:26.574515,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
162,,,,,6,6,Pop Cover - 1,POPC,,,2026-07-01,,,,,2026-07-07 08:07:18.58253,2026-07-15 02:07:29.288996,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
161,,,,,6,6,Indie Folk Cover - 1,IFC,,,2026-07-01,,,,,2026-07-07 07:36:30.891713,2026-07-15 02:07:32.471211,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
160,,,,,6,6,Saxophone Cover - 1,SXC,,,2026-07-01,,,,,2026-07-07 07:36:23.518403,2026-07-15 02:07:35.749084,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
159,,,,,6,6,Rock Ballad Cover - 1,RBC,,,2026-07-01,,,,,2026-07-07 07:36:03.75109,2026-07-15 02:07:39.091156,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
158,,,,,6,6,Piano Cover - 1,PC,,,2026-07-01,,,,,2026-07-07 07:35:56.626092,2026-07-15 02:07:41.495874,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
157,,,,,6,6,Latin Cover - 1,LTC,,,2026-07-01,,,,,2026-07-07 07:35:49.884726,2026-07-15 02:07:46.742642,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
166,,,,,6,6,Lofi Cover - 1,LF1,,,2026-08-01,,,,,2026-08-01 02:02:07.154764,2026-08-01 02:02:07.154764,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
142,,,,,6,6,Chillout,CO,progress,lyric,2025-09-01,,,,,2025-10-08 10:38:44.988167,2026-07-09 02:23:06.463486,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
141,,,,,6,6,Indie/Folk,IF,progress,lyric,2025-09-01,,,,,2025-10-08 10:34:54.903397,2026-07-09 02:23:10.154381,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
165,,,,,6,6,Cinematic Cover - 1,CINEC,,,2026-07-01,,,,,2026-07-14 01:30:31.604402,2026-07-15 02:05:53.159628,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
