dim_artist_sk,platform_id,platform_name
211b39255232ab59ce78f2e28cd0292b,5455,Le Tuan Anh
a89b71bb5227c75d463dd82a03115738,5456,Trương Văn Hải
9665de2e7418849f980048e2bf816d30,35488,m0nd3r
c7e274f2fe950fbc3d82d36fb2f245f8,35480,OM Himalayas Healer
cdeb62ca10f63c94f575fa8f7f7a2b1f,15197,Nguyễn Gia Huy
17d079a0102e73dbd8c7cd98b6716b5b,15230,Bùi Mạnh Ninh
73ead3de69a5f3dbe5e6010b87e68727,35489,m0nd3r
007619eedbdde16adf6849f0e993f245,35481,Cao Bá Hưng
78aafe78cef466668ddd95d4d9d7e1ad,35743,Milo Maren
618b0fffdfdb50766e4d51574bc4e533,5457,Quang Hà
1475b0b5094e6f4f7dfc284649259195,15607,Nora Elen
28a543c2a9eee8c0d6fbfaff7ca7e224,5458,Hạnh Nguyễn Xuân
67e91755751b124a5e752c5fdcaa3a48,35904,SØLACE
9d05c2d955b24bd5d20b1638156ea0ef,5459,Lương Đức Dũng
fb4c835feb0a65cc39739320d7a51c02,5460,Joong Jin Hoon
b9009beb804fa097c04d226a8ba5102e,5461,Thanh Hưng
d63c4a5e9b600279c3da776f6113a400,5462,Huy Phạm
00f842ec2fc7bc8a6968c511f44dba04,15399,o:reliz
2d1ef8f39d2c1590daf9a3737c8a931d,5463,Tduc
b426b30042abbc15e363cb679bbc937d,5464,Long Cao
4275f89744278864da88c2fda68ec4e9,5465,Hà Bùi Khôi Nguyên
7c4121d27bf970f00f1dfdcee8f43a5d,5467,Mỳ Nguyễn (Tiệm ảnh của Mỳ)
b05bf587ec7ce83518b72eb0d011a353,5495,Tyler Lekki
971bbe989ad132e834b0ccb3f32e92ee,15277,Kang Jalan
d8e1d5073bde1c96433e0463f000bb35,15198,Nguyễn Gia Huy
0a54b19a13b6712dc04d1b49215423d8,5888,alexrebel_fpv
a631032a4ca53c968fd251959795ec39,35456,Cuong Tong
fc1618c9ae39989770371191790a772b,15611,M.ARLEN
cfaedf8d25fee6179bfc4bcb64bbbfbd,13885,Bùi Anh Việt
ad22e184c6cdfb585ad39195d1905acd,15529,Matthew Williams-Ellis | Wildlife Photographer
a3bf6e4db673b6449c2f7d13ee6ec9c0,5889,miyakojima.drone
7cfd5df443b4eb0d69886a583b33de4c,5887,AtsushiBlue💙Okinawa
51a6ce0252d8fa6e913524bdce8db490,11149,Bùi Duy Thành
