id,company_id,parent_id,manager_id,color,master_department_id,create_uid,write_uid,complete_name,parent_path,name,note,active,create_date,write_date,hg_paymenttool_id,hg_assign_sequence_id,hg_repair_sequence_id,hg_return_sequence_id,hg_dispose_sequence_id,hg_code,sequence,_source_id,_source_connection,_batch_id,_loaded_at
33,,,,0,33,6,4581,Kế toán,33/,"{""en_US"": ""Kế toán"", ""vi_VN"": ""Kế toán""}",,f,2025-08-18 09:50:51.413941,2025-11-26 03:43:10.866305,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
51,2,40,,,35,6,2318,Red One Media / Phòng MKT2 / Team MKT Hải Nam,35/40/51/,"{""en_US"": ""Team SEO Youtube anh Nam"", ""vi_VN"": ""Team MKT Hải Nam""}",,t,2025-08-18 17:25:19.573697,2025-12-24 07:03:41.025723,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
37,2,35,,,35,6,2318,Red One Media / Phòng Sáng tạo,35/37/,"{""en_US"": ""Phòng design"", ""vi_VN"": ""Phòng Sáng tạo""}",,t,2025-08-18 17:25:19.573697,2025-12-24 06:57:00.933549,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
99,,,,,99,6,6,HG La Giang,99/,"{""en_US"": ""HG La Giang"", ""vi_VN"": ""HG La Giang""}",,t,2025-08-18 17:48:22.947069,2025-09-21 16:38:08.311628,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
101,,129,,,99,6,6,HG La Giang / Phòng hỗ trợ / Team trợ lý,99/129/101/,"{""en_US"": ""Team trợ lý"", ""vi_VN"": ""Team trợ lý""}",,t,2025-08-18 17:48:22.947069,2025-08-18 18:18:20.785837,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
49,2,38,,,35,6,2318,Red One Media / Phòng MKT1 / Team MKT Kinh,35/38/49/,"{""en_US"": ""Team SEO Youtube anh Kinh"", ""vi_VN"": ""Team MKT Kinh""}",,t,2025-08-18 17:25:19.573697,2025-12-24 07:03:47.102264,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
178,3,97,172,0,97,2318,2318,An Tuệ / Phòng MKT Cơ sở 2,97/178/,"{""en_US"": ""Phòng MKT Cơ sở 2"", ""vi_VN"": ""Phòng MKT Cơ sở 2""}",,t,2025-11-28 08:47:16.716484,2025-11-28 08:53:16.775964,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
53,,39,,,35,6,2318,Red One Media / Phòng MKT3 / Team MKT Tuấn 2K,35/39/53/,"{""en_US"": ""Team SEO Youtube Tuấn 2K"", ""vi_VN"": ""Team MKT Tuấn 2K""}",,t,2025-08-18 17:25:19.573697,2025-12-24 04:27:44.881838,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
102,,118,,,98,6,2318,Vibe / Phòng hỗ trợ Vibe / Team R&D,98/118/102/,"{""en_US"": ""Team R&D"", ""vi_VN"": ""Team R&D""}",,t,2025-08-18 17:48:22.947069,2025-12-23 09:57:52.0932,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
103,,118,,,98,6,2318,Vibe / Phòng hỗ trợ Vibe / Team Thu mua,98/118/103/,"{""en_US"": ""Team Thu mua"", ""vi_VN"": ""Team Thu mua""}",,t,2025-08-18 17:48:22.947069,2025-12-23 09:57:52.0932,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
42,2,36,,,35,6,2318,Red One Media / Phòng hỗ trợ Red One / Team trợ lý,35/36/42/,"{""en_US"": ""Team trợ lý"", ""vi_VN"": ""Team trợ lý""}",,t,2025-08-18 17:25:19.573697,2025-12-24 06:52:38.718443,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
97,3,,,,97,6,2318,An Tuệ,97/,"{""en_US"": ""Marketing 2"", ""vi_VN"": ""An Tuệ""}",,t,2025-08-18 17:48:22.947069,2025-12-24 06:55:04.556489,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
38,2,35,,,35,6,2318,Red One Media / Phòng MKT1,35/38/,"{""en_US"": ""Phòng SEO Youtube anh Nam"", ""vi_VN"": ""Phòng MKT1""}",,t,2025-08-18 17:25:19.573697,2025-12-24 06:57:26.458831,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
32,,29,,0,29,6,6,BD / Network,29/32/,"{""en_US"": ""Network"", ""vi_VN"": ""Network""}",,t,2025-08-17 15:29:15.443314,2025-09-21 16:38:08.311628,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
139,,138,,0,138,6,6,Marketing Label / Vận hành Label,138/139/,"{""en_US"": ""Vận hành Label"", ""vi_VN"": ""Vận hành Label""}",,t,2025-08-23 08:36:46.128516,2025-08-23 08:36:46.128516,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
100,3,97,,4,97,6,2318,An Tuệ / Phòng Cung ứng,97/100/,"{""en_US"": ""Phòng hỗ trợ"", ""vi_VN"": ""Phòng Cung ứng""}",,t,2025-08-18 17:48:22.947069,2025-12-24 06:56:47.137587,,517,518,519,520,PB,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
40,2,35,,,35,6,2318,Red One Media / Phòng MKT2,35/40/,"{""en_US"": ""Phòng SEO Youtube anh Quang"", ""vi_VN"": ""Phòng MKT2""}",,t,2025-08-18 17:25:19.573697,2025-12-24 06:58:22.892463,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
106,3,97,,,97,6,2318,An Tuệ / Phòng Sáng tạo,97/106/,"{""en_US"": ""Phòng design"", ""vi_VN"": ""Phòng Sáng tạo""}",,t,2025-08-18 17:48:22.947069,2025-12-24 06:59:13.601072,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
111,3,97,,,97,6,2318,An Tuệ / Phòng MKT Trung,97/111/,"{""en_US"": ""Phòng MKT Trung"", ""vi_VN"": ""Phòng MKT Trung""}",,t,2025-08-18 17:48:22.947069,2025-12-24 07:01:07.246941,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
