dim_isrc_sk,hg_stock_id,isrc
2840a14c9902158a9c959bdc93ddfa53,J(H_B_O)_B2502_NPQ4_13,QT2WN2501152
9a1e86e51647c19a4b53222219f157ab,J(H_B_O)_B2502_NTD1_01,QT2WN2501153
e0ba449b818f7c16fb42e65a5cffda95,J(H_B_O)_B2502_NTD1_02,QT2WN2501154
1fa77d2f0cea889e1aaea5f451aa6491,J(H_B_O)_B2502_NTD1_03,QT2WN2501155
cd9cbac0830b805aad920a0efcf34995,J(H_B_O)_B2502_NTD1_04,QT2WN2501156
8d2973814f8dbbe83cfa19dbb136ae7e,J(H_B_O)_B2502_ĐTHN1_01,QT2WN2501157
e177f79e73117ce36b4a6af5054129a1,J(H_B_O)_B2502_ĐTHN1_02,QT2WN2501158
b4ddcbe96103a9765b3ad3454562a497,J(H_B_O)_B2502_ĐTHN1_03,QT2WN2501159
be8946b9b88a7f8a84c6ff851e642e67,G(2_B_O)_A2503_NTG1_01,QT2WN2501160
7fbe218d43116ab028f8abdff5a978b3,G(2_B_O)_A2503_NTG1_02,QT2WN2501161
7a9a33cdbc73893c8b112d2870840a2a,G(2_B_O)_A2503_ĐB1_01,QT2WN2501162
8f708379197691e7ab75191038036d8d,G(2_B_O)_A2503_ĐB1_02,QT2WN2501163
2f4c858b27c6261c5398db5f2ad0bc34,G(2_B_O)_A2503_HK1_01,QT2WN2501164
803b7151f802ec2bd7311cb0c70e40bb,G(2_B_O)_A2503_HK1_02,QT2WN2501165
5793536600b360a6dd53cf5098ac730a,G(2_B_O)_A2503_HK1_03,QT2WN2501166
0915064600f030cdbc8f53aaf862d65c,P(2_B_O)_A2502_IH01_01,QT2WN2501167
e8aa94f1b7d787ddde279eee3b883833,P(2_B_O)_A2502_IH01_02,QT2WN2501168
8d4615c122203102a6ace38fb73e160c,P(2_B_O)_A2502_IH01_03,QT2WN2501169
6049052fd8d577fc389d48b33c77f893,P(2_B_O)_A2502_VNT01_01,QT2WN2501170
3e71776acdaff34959ffc93651f9aa99,P(2_B_O)_A2502_VNT01_02,QT2WN2501171
d33f481533497f3fabbbdc863d1a47f5,P(2_B_O)_A2502_VNT01_03,QT2WN2501172
