fact_khsx_detail_sk,production_plan_detail_id,production_plan_id,production_manager,ar_manager,status
fa83a11a198d5a7f0bf77a1987bcd006,840,10,31,42,draft
02a32ad2669e6fe298e607fe7cc0e1a0,841,10,31,42,draft
fc3cf452d3da8402bebb765225ce8c0e,842,10,31,42,draft
78bc62d08a9a0b9b0b9c0ad339ef82d3,3087,45,33,35,draft
8248a99e81e752cb9b41da3fc43fbe7f,1140,12,30,42,draft
144a3f71a03ab7c4f46f9656608efdb2,1206,12,32,49,draft
f7f580e11d00a75814d2ded41fe8e8fe,1141,12,30,42,draft
678a1491514b7f1006d605e9161946b1,1127,12,32,39,draft
19b650660b253761af189682e03501dd,863,10,32,44,draft
1fc214004c9481e4c8073e85323bfd4b,864,10,32,44,draft
3b3dbaf68507998acd6a5a5254ab2d76,865,10,32,44,draft
dd8eb9f23fbd362da0e3f4e70b878c16,878,10,33,47,draft
d516b13671a4179d9b7b458a6ebdeb92,879,10,33,47,draft
ca8155f4d27f205953f9d3d7974bdd70,866,10,32,44,draft
ede7e2b6d13a41ddf9f4bdef84fdc737,867,10,32,44,draft
ebd6d2f5d60ff9afaeda1a81fc53e2d0,1508,19,31,37,approved
bd4c9ab730f5513206b999ec0d90d1fb,161,7,30,43,approved
851ddf5058cf22df63d3344ad89919cf,614,9,31,36,approved
0c74b7f78409a4022a2c4c5a5ca3ee19,369,9,31,39,draft
d709f38ef758b5066ef31b18039b8ce5,370,9,31,39,draft
5e1b18c4c6a6d31695acbae3fd70ecc6,1342,16,30,3298,draft
ca9c267dad0305d1a6308d2a0cf1c39c,679,10,30,35,draft
e8c0653fea13f91bf3c48159f7c24f78,505,9,32,44,draft
08b255a5d42b89b0585260b6f2360bdd,590,9,31,39,approved
d7a728a67d909e714c0774e22cb806f2,609,9,32,42,approved
42e7aaa88b48137a16a1acd04ed91125,415,9,31,41,draft
6da37dd3139aa4d9aa55b8d237ec5d4a,331,9,30,39,draft
1f50893f80d6830d62765ffad7721742,880,10,33,47,draft
7504adad8bb96320eb3afdd4df6e1f60,881,10,33,47,draft
1d7f7abc18fcb43975065399b0d1e48e,154,7,30,39,approved
68264bdb65b97eeae6788aa3348e553c,660,9,32,44,draft
65ded5353c5ee48d0b7d48c591b8f430,132,7,33,45,approved
