id,sequence,expected_employees,no_of_employee,no_of_recruitment,department_id,company_id,contract_type_id,create_uid,write_uid,name,description,requirements,active,create_date,write_date,_source_id,_source_connection,_batch_id,_loaded_at
137,10,2,1,1,,,,6,6,"{""en_US"": ""Learning & Development Executive"", ""vi_VN"": ""Learning & Development Executive""}",,,t,2025-09-10 16:12:13.928772,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
100,10,1,0,1,,,,6,6,"{""en_US"": ""Music Label Coordinator"", ""vi_VN"": ""Music Label Coordinator""}",,,t,2025-09-10 16:12:13.928772,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
166,10,2,1,1,,,,6,6,"{""en_US"": ""Data Analyst"", ""vi_VN"": ""Data Analyst""}",,,t,2025-09-10 16:12:13.928772,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
75,10,1,0,1,,,,6,6,"{""en_US"": ""Kế toán nội bộ tổng hợp"", ""vi_VN"": ""Kế toán nội bộ tổng hợp""}",,,t,2025-09-01 16:03:55.986751,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
77,10,1,0,1,,,,6,6,"{""en_US"": ""Admin"", ""vi_VN"": ""Admin""}",,,t,2025-09-01 16:04:26.001519,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
31,10,2,1,1,,,,6,6,"{""en_US"": ""AI Design Team Leader"", ""vi_VN"": ""AI Design Team Leader""}",,,t,2025-08-18 17:36:45.959127,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
38,10,2,1,1,,,,6,6,"{""en_US"": ""2D Artist Executive"", ""vi_VN"": ""2D Artist Executive""}",,,t,2025-08-18 17:36:45.959127,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
40,10,2,1,1,,,,6,6,"{""en_US"": ""Video Editor Executive"", ""vi_VN"": ""Video Editor Executive""}",,,t,2025-08-18 17:36:45.959127,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
41,10,2,1,1,,,,6,6,"{""en_US"": ""2D Artist Leader"", ""vi_VN"": ""2D Artist Leader""}",,,t,2025-08-18 17:36:45.959127,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
214,10,1,1,0,,1,,6,6,"{""en_US"": ""Business Development Officer"", ""vi_VN"": ""Business Development Officer""}",,,t,2025-09-21 13:53:43.244868,2025-09-21 13:53:59.406813,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
